,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[-355],[-21.45015106],[1300],1655
1,A006650,대한유화,[-12100],[-10.85201794],[99400],111500
2,A088130,동아엘텍,[480],[6.43431635],[7940],7460
3,A054800,아이디스홀딩스,[-1150],[-9.70464135],[10700],11850
4,A029460,케이씨,[5200],[41.26984127],[17800],12600
5,A023600,삼보판지,[-600],[-6.7114094],[8340],8940
6,A003240,태광산업,[-59000],[-5.96562184],[930000],989000
7,A009970,영원무역홀딩스,[-9950],[-19.50980392],[41050],51000
8,A900280,골든센츄리,[-413],[-54.19947507],[349],762
9,A013120,동원개발,[-335],[-8.07228916],[3815],4150
10,A101330,모베이스,[-610],[-12.1031746],[4430],5040
11,A016590,신대양제지,[-9500],[-13.61031519],[60300],69800
12,A004490,세방전지,[-3000],[-8.04289544],[34300],37300
13,A093050,LF,[-6050],[-29.22705314],[14650],20700
14,A088910,동우팜투테이블,[-70],[-2.01149425],[3410],3480
15,A016090,대현,[-50],[-2.07039337],[2365],2415
16,A017890,한국알콜,[240],[3.04568528],[8120],7880
17,A018310,삼목에스폼,[-1900],[-20.10582011],[7550],9450
18,A092440,기신정기,[145],[3.88739946],[3875],3730
19,A039010,현대통신,[-450],[-5.59701493],[7590],8040
20,A900310,컬러레이,[390],[27.27272727],[1820],1430
21,A049070,인탑스,[-1700],[-11.18421053],[13500],15200
22,A010240,흥국,[-485],[-10.70640177],[4045],4530
23,A007540,샘표,[-3600],[-8.5106383],[38700],42300
24,A052330,코텍,[-900],[-7.05882353],[11850],12750
25,A001130,대한제분,[-43000],[-23.88888889],[137000],180000
26,A053610,프로텍,[550],[3.02197802],[18750],18200
27,A002170,삼양통상,[1900],[3.22580645],[60800],58900
28,A084110,휴온스글로벌,[4450],[16.72932331],[31050],26600
29,A049430,코메론,[400],[5.14138817],[8180],7780
30,A069510,에스텍,[-900],[-7.53138075],[11050],11950
31,A020000,한섬,[-2100],[-7.05882353],[27650],29750
32,A005930,삼성전자,[17900],[40.77448747],[61800],43900
33,A000480,조선내화,[-6000],[-7.05882353],[79000],85000
34,A072710,농심홀딩스,[5800],[8.],[78300],72500
35,A036190,금화피에스시,[-1800],[-6.20689655],[27200],29000
36,A005440,현대그린푸드,[-900],[-8.25688073],[10000],10900
37,A004000,롯데정밀화학,[-2950],[-6.72748005],[40900],43850
38,A109860,동일금속,[200],[1.73160173],[11750],11550
39,A083550,케이엠,[2950],[46.02184087],[9360],6410
40,A039340,한국경제TV,[150],[3.50058343],[4435],4285
41,A004970,신라교역,[-1250],[-10.08064516],[11150],12400
42,A004590,한국가구,[260],[6.63265306],[4180],3920
43,A102710,이엔에프테크놀로,[7950],[37.32394366],[29250],21300
44,A028150,GS홈쇼핑,[-17500],[-11.29761136],[137400],154900
45,A094840,슈프리마에이치큐,[370],[6.59536542],[5980],5610
46,A079940,가비아,[2220],[27.81954887],[10200],7980
47,A015710,코콤,[30],[0.46153846],[6530],6500
48,A221980,케이디켐,[600],[5.15021459],[12250],11650
49,A067920,이글루시큐리티,[120],[2.82352941],[4370],4250
50,A003780,진양산업,[1135],[35.30326594],[4350],3215
51,A001560,제일연마,[190],[3.00157978],[6520],6330
52,A036810,에프에스티,[2550],[36.95652174],[9450],6900
53,A002290,삼일기업공사,[180],[6.08108108],[3140],2960
54,A241790,오션브릿지,[1650],[15.71428571],[12150],10500
55,A189690,포시에스,[250],[3.98724083],[6520],6270
56,A256940,케이피에스,[16350],[161.08374384],[26500],10150
57,A122310,제노레이,[18550],[117.40506329],[34350],15800
58,A105740,디케이락,[300],[3.33333333],[9300],9000
59,A192440,슈피겐코리아,[-7700],[-13.25301205],[50400],58100
60,A036830,솔브레인,[27500],[38.84180791],[98300],70800
61,A228850,레이언스,[3000],[26.78571429],[14200],11200
62,A203450,유니온커뮤니티,[270],[10.18867925],[2920],2650
63,A243070,휴온스,[5550],[12.70022883],[49250],43700
64,A120240,대정화금,[1100],[7.97101449],[14900],13800
65,A033270,유나이티드제약,[-1300],[-7.02702703],[17200],18500
66,A018250,애경산업,[2400],[8.2616179],[31450],29050
67,A036670,KCI,[110],[1.11223458],[10000],9890
68,A284740,쿠쿠홈시스,[-6300],[-13.80065717],[39350],45650
69,A033290,코웰패션,[-1160],[-18.38351823],[5150],6310
70,A086450,동국제약,[31700],[49.92125984],[95200],63500
71,A064760,티씨케이,[25100],[51.75257732],[73600],48500
72,A100700,세운메디칼,[215],[6.67701863],[3435],3220
73,A119860,다나와,[4550],[22.14111922],[25100],20550
