,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[-1016],[-61.3897281],[639],1655
1,A006650,대한유화,[-50000],[-44.84304933],[61500],111500
2,A088130,동아엘텍,[-2800],[-37.53351206],[4660],7460
3,A054800,아이디스홀딩스,[-4230],[-35.69620253],[7620],11850
4,A029460,케이씨,[-2960],[-23.49206349],[9640],12600
5,A023600,삼보판지,[-3610],[-40.3803132],[5330],8940
6,A003240,태광산업,[-493000],[-49.84833165],[496000],989000
7,A009970,영원무역홀딩스,[-23600],[-46.2745098],[27400],51000
8,A900280,골든센츄리,[-555],[-72.83464567],[207],762
9,A013120,동원개발,[-1030],[-24.81927711],[3120],4150
10,A101330,모베이스,[-3045],[-60.41666667],[1995],5040
11,A016590,신대양제지,[-29250],[-41.90544413],[40550],69800
12,A004490,세방전지,[-14800],[-39.67828418],[22500],37300
13,A093050,LF,[-11760],[-56.8115942],[8940],20700
14,A088910,동우팜투테이블,[-1470],[-42.24137931],[2010],3480
15,A016090,대현,[-1065],[-44.09937888],[1350],2415
16,A017890,한국알콜,[-220],[-2.79187817],[7660],7880
17,A018310,삼목에스폼,[-5355],[-56.66666667],[4095],9450
18,A092440,기신정기,[-1370],[-36.72922252],[2360],3730
19,A039010,현대통신,[-3850],[-47.88557214],[4190],8040
20,A900310,컬러레이,[-607],[-42.44755245],[823],1430
21,A049070,인탑스,[-7940],[-52.23684211],[7260],15200
22,A010240,흥국,[-2460],[-54.30463576],[2070],4530
23,A007540,샘표,[-20700],[-48.93617021],[21600],42300
24,A052330,코텍,[-5850],[-45.88235294],[6900],12750
25,A001130,대한제분,[-88000],[-48.88888889],[92000],180000
26,A053610,프로텍,[-8200],[-45.05494505],[10000],18200
27,A002170,삼양통상,[-18900],[-32.08828523],[40000],58900
28,A084110,휴온스글로벌,[-7800],[-29.32330827],[18800],26600
29,A049430,코메론,[-1540],[-19.79434447],[6240],7780
30,A069510,에스텍,[-5080],[-42.51046025],[6870],11950
31,A020000,한섬,[-13000],[-43.69747899],[16750],29750
32,A005930,삼성전자,[-950],[-2.16400911],[42950],43900
33,A000480,조선내화,[-15100],[-17.76470588],[69900],85000
34,A072710,농심홀딩스,[-8600],[-11.86206897],[63900],72500
35,A036190,금화피에스시,[-8050],[-27.75862069],[20950],29000
36,A005440,현대그린푸드,[-5880],[-53.94495413],[5020],10900
37,A004000,롯데정밀화학,[-19950],[-45.49600912],[23900],43850
38,A109860,동일금속,[-1970],[-17.05627706],[9580],11550
39,A083550,케이엠,[2050],[31.98127925],[8460],6410
40,A039340,한국경제TV,[-1155],[-26.95449242],[3130],4285
41,A004970,신라교역,[-5110],[-41.20967742],[7290],12400
42,A004590,한국가구,[-1015],[-25.89285714],[2905],3920
43,A102710,이엔에프테크놀로,[-6800],[-31.92488263],[14500],21300
44,A028150,GS홈쇼핑,[-66300],[-42.80180762],[88600],154900
45,A094840,슈프리마에이치큐,[-2560],[-45.63279857],[3050],5610
46,A079940,가비아,[-1110],[-13.90977444],[6870],7980
47,A015710,코콤,[-3255],[-50.07692308],[3245],6500
48,A221980,케이디켐,[-1600],[-13.73390558],[10050],11650
49,A067920,이글루시큐리티,[-890],[-20.94117647],[3360],4250
50,A003780,진양산업,[-1015],[-31.57076205],[2200],3215
51,A001560,제일연마,[-1880],[-29.69984202],[4450],6330
52,A036810,에프에스티,[-2765],[-40.07246377],[4135],6900
53,A002290,삼일기업공사,[-1240],[-41.89189189],[1720],2960
54,A241790,오션브릿지,[-4200],[-40.],[6300],10500
55,A189690,포시에스,[-2270],[-36.20414673],[4000],6270
56,A256940,케이피에스,[9400],[92.61083744],[19550],10150
57,A122310,제노레이,[-10750],[-68.03797468],[5050],15800
58,A105740,디케이락,[-4605],[-51.16666667],[4395],9000
59,A192440,슈피겐코리아,[-29900],[-51.46299484],[28200],58100
60,A036830,솔브레인,[-19500],[-27.54237288],[51300],70800
61,A228850,레이언스,[-3990],[-35.625],[7210],11200
62,A203450,유니온커뮤니티,[-1175],[-44.33962264],[1475],2650
63,A243070,휴온스,[-9750],[-22.31121281],[33950],43700
64,A120240,대정화금,[-5900],[-42.75362319],[7900],13800
65,A033270,유나이티드제약,[-7250],[-39.18918919],[11250],18500
66,A018250,애경산업,[-9550],[-32.87435456],[19500],29050
67,A036670,KCI,[-3990],[-40.3437816],[5900],9890
68,A284740,쿠쿠홈시스,[-18500],[-40.52573932],[27150],45650
69,A033290,코웰패션,[-2760],[-43.74009509],[3550],6310
70,A086450,동국제약,[3400],[5.35433071],[66900],63500
71,A064760,티씨케이,[-450],[-0.92783505],[48050],48500
72,A100700,세운메디칼,[-1375],[-42.70186335],[1845],3220
73,A119860,다나와,[-2750],[-13.38199513],[17800],20550
