,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[-205],[-12.38670695],[1450],1655
1,A006650,대한유화,[6000],[5.38116592],[117500],111500
2,A088130,동아엘텍,[660],[8.84718499],[8120],7460
3,A054800,아이디스홀딩스,[150],[1.26582278],[12000],11850
4,A029460,케이씨,[6050],[48.01587302],[18650],12600
5,A023600,삼보판지,[-730],[-8.1655481],[8210],8940
6,A003240,태광산업,[71000],[7.17896866],[1060000],989000
7,A009970,영원무역홀딩스,[-2800],[-5.49019608],[48200],51000
8,A900280,골든센츄리,[-449],[-58.92388451],[313],762
9,A013120,동원개발,[-65],[-1.56626506],[4085],4150
10,A101330,모베이스,[-800],[-15.87301587],[4240],5040
11,A016590,신대양제지,[-10300],[-14.75644699],[59500],69800
12,A004490,세방전지,[0],[0.],[37300],37300
13,A093050,LF,[-2200],[-10.62801932],[18500],20700
14,A088910,동우팜투테이블,[90],[2.5862069],[3570],3480
15,A016090,대현,[80],[3.3126294],[2495],2415
16,A017890,한국알콜,[-360],[-4.56852792],[7520],7880
17,A018310,삼목에스폼,[-1090],[-11.53439153],[8360],9450
18,A092440,기신정기,[45],[1.20643432],[3775],3730
19,A039010,현대통신,[-20],[-0.24875622],[8020],8040
20,A900310,컬러레이,[430],[30.06993007],[1860],1430
21,A049070,인탑스,[-2300],[-15.13157895],[12900],15200
22,A010240,흥국,[-105],[-2.31788079],[4425],4530
23,A007540,샘표,[-1550],[-3.6643026],[40750],42300
24,A052330,코텍,[100],[0.78431373],[12850],12750
25,A001130,대한제분,[-32500],[-18.05555556],[147500],180000
26,A053610,프로텍,[-2100],[-11.53846154],[16100],18200
27,A002170,삼양통상,[1000],[1.69779287],[59900],58900
28,A084110,휴온스글로벌,[8550],[32.14285714],[35150],26600
29,A049430,코메론,[770],[9.89717224],[8550],7780
30,A069510,에스텍,[-300],[-2.51046025],[11650],11950
31,A020000,한섬,[1800],[6.05042017],[31550],29750
32,A005930,삼성전자,[11900],[27.1070615],[55800],43900
33,A000480,조선내화,[3800],[4.47058824],[88800],85000
34,A072710,농심홀딩스,[6000],[8.27586207],[78500],72500
35,A036190,금화피에스시,[500],[1.72413793],[29500],29000
36,A005440,현대그린푸드,[950],[8.71559633],[11850],10900
37,A004000,롯데정밀화학,[1300],[2.96465222],[45150],43850
38,A109860,동일금속,[950],[8.22510823],[12500],11550
39,A083550,케이엠,[1080],[16.84867395],[7490],6410
40,A039340,한국경제TV,[430],[10.03500583],[4715],4285
41,A004970,신라교역,[-500],[-4.03225806],[11900],12400
42,A004590,한국가구,[260],[6.63265306],[4180],3920
43,A102710,이엔에프테크놀로,[7300],[34.27230047],[28600],21300
44,A028150,GS홈쇼핑,[-6300],[-4.06714009],[148600],154900
45,A094840,슈프리마에이치큐,[210],[3.74331551],[5820],5610
46,A079940,가비아,[300],[3.7593985],[8280],7980
47,A015710,코콤,[50],[0.76923077],[6550],6500
48,A221980,케이디켐,[650],[5.57939914],[12300],11650
49,A067920,이글루시큐리티,[125],[2.94117647],[4375],4250
50,A003780,진양산업,[775],[24.10575428],[3990],3215
51,A001560,제일연마,[1450],[22.90679305],[7780],6330
52,A036810,에프에스티,[850],[12.31884058],[7750],6900
53,A002290,삼일기업공사,[645],[21.79054054],[3605],2960
54,A241790,오션브릿지,[-200],[-1.9047619],[10300],10500
55,A189690,포시에스,[-80],[-1.27591707],[6190],6270
56,A256940,케이피에스,[3500],[34.48275862],[13650],10150
57,A122310,제노레이,[6350],[40.18987342],[22150],15800
58,A105740,디케이락,[600],[6.66666667],[9600],9000
59,A192440,슈피겐코리아,[-7100],[-12.22030981],[51000],58100
60,A036830,솔브레인,[13500],[19.06779661],[84300],70800
61,A228850,레이언스,[2050],[18.30357143],[13250],11200
62,A203450,유니온커뮤니티,[130],[4.90566038],[2780],2650
63,A243070,휴온스,[10300],[23.56979405],[54000],43700
64,A120240,대정화금,[1150],[8.33333333],[14950],13800
65,A033270,유나이티드제약,[-150],[-0.81081081],[18350],18500
66,A018250,애경산업,[-650],[-2.23752151],[28400],29050
67,A036670,KCI,[960],[9.70677452],[10850],9890
68,A284740,쿠쿠홈시스,[-2450],[-5.36692223],[43200],45650
69,A033290,코웰패션,[-670],[-10.61806656],[5640],6310
70,A086450,동국제약,[25600],[40.31496063],[89100],63500
71,A064760,티씨케이,[17400],[35.87628866],[65900],48500
72,A100700,세운메디칼,[5],[0.1552795],[3225],3220
73,A119860,다나와,[3300],[16.05839416],[23850],20550
