,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A036530,S&T홀딩스,[-250],[-1.65016502],[14900],15150
1,A900290,GRT,[80],[3.96039604],[2100],2020
2,A900280,골든센츄리,[22],[3.83944154],[595],573
3,A900270,헝셩그룹,[100],[8.92857143],[1220],1120
4,A900300,오가닉티코스메틱,[70],[3.6939314],[1965],1895
5,A009970,영원무역홀딩스,[-50],[-0.10416667],[47950],48000
6,A023600,삼보판지,[-40],[-0.44395117],[8970],9010
7,A002200,수출포장,[200],[1.03092784],[19600],19400
8,A054800,아이디스홀딩스,[250],[2.],[12750],12500
9,A012320,경동인베스트,[1050],[2.98719772],[36200],35150
10,A029460,케이씨,[100],[0.7518797],[13400],13300
11,A058860,KTis,[50],[2.24215247],[2280],2230
12,A088130,동아엘텍,[70],[0.88832487],[7950],7880
13,A101330,모베이스,[75],[1.59574468],[4775],4700
14,A003240,태광산업,[-14000],[-1.20068611],[1152000],1166000
15,A016590,신대양제지,[-600],[-0.8583691],[69300],69900
16,A013120,동원개발,[40],[0.92165899],[4380],4340
17,A015230,대창단조,[-13350],[-31.41176471],[29150],42500
18,A049070,인탑스,[0],[0.],[13100],13100
19,A093050,LF,[400],[1.97530864],[20650],20250
20,A067830,세이브존I&C,[95],[2.7982327],[3490],3395
21,A224110,에이텍티앤,[400],[5.16795866],[8140],7740
22,A161000,애경유화,[-60],[-0.76530612],[7780],7840
23,A017480,삼현철강,[-70],[-1.6],[4305],4375
24,A004490,세방전지,[-1050],[-2.47641509],[41350],42400
25,A030530,원익홀딩스,[20],[0.47449585],[4235],4215
26,A016090,대현,[-45],[-1.82555781],[2420],2465
27,A039010,현대통신,[200],[2.47524752],[8280],8080
28,A053210,스카이라이프,[180],[1.95227766],[9400],9220
29,A042420,네오위즈홀딩스,[-550],[-3.79310345],[13950],14500
30,A017890,한국알콜,[-10],[-0.12062726],[8280],8290
31,A014440,영보화학,[80],[2.35988201],[3470],3390
32,A007540,샘표,[1350],[3.07867731],[45200],43850
33,A006740,영풍제지,[5],[0.16528926],[3030],3025
34,A000850,화천기공,[-550],[-1.36476427],[39750],40300
35,A053610,프로텍,[550],[3.17002882],[17900],17350
36,A007590,동방아그로,[70],[1.05105105],[6730],6660
37,A900310,컬러레이,[-15],[-0.75],[1985],2000
38,A046110,한일네트웍스,[345],[7.3015873],[5070],4725
39,A037710,광주신세계,[500],[0.29325513],[171000],170500
40,A005930,삼성전자,[2100],[4.45859873],[49200],47100
41,A049430,코메론,[40],[0.50062578],[8030],7990
42,A069960,현대백화점,[800],[1.0230179],[79000],78200
43,A036190,금화피에스시,[250],[0.83472454],[30200],29950
44,A010240,흥국,[-30],[-0.59642147],[5000],5030
45,A069510,에스텍,[50],[0.42735043],[11750],11700
46,A002170,삼양통상,[-800],[-1.27795527],[61800],62600
47,A019590,엠벤처투자,[0],[0.],[1160],1160
48,A290740,액트로,[250],[2.35849057],[10850],10600
49,A084110,휴온스글로벌,[400],[1.36518771],[29700],29300
50,A109860,동일금속,[150],[1.2987013],[11700],11550
51,A001630,종근당홀딩스,[9200],[10.46643914],[97100],87900
52,A134380,미원화학,[850],[2.12234707],[40900],40050
53,A102710,이엔에프테크놀로,[0],[0.],[20700],20700
54,A004000,롯데정밀화학,[-200],[-0.42105263],[47300],47500
55,A151860,KG ETS,[20],[0.60698027],[3315],3295
56,A003780,진양산업,[-10],[-0.29850746],[3340],3350
57,A900250,크리스탈신소재,[55],[2.39130435],[2355],2300
58,A002290,삼일기업공사,[-20],[-0.62111801],[3200],3220
59,A079940,가비아,[80],[1.],[8080],8000
60,A241790,오션브릿지,[470],[4.73313192],[10400],9930
61,A039340,한국경제TV,[300],[6.50759219],[4910],4610
62,A024090,디씨엠,[350],[2.8340081],[12700],12350
63,A005500,삼진제약,[200],[0.74626866],[27000],26800
64,A028150,GS홈쇼핑,[400],[0.25109856],[159700],159300
65,A084370,유진테크,[800],[5.90405904],[14350],13550
66,A189690,포시에스,[-30],[-0.48701299],[6130],6160
67,A115310,인포바인,[1000],[4.68384075],[22350],21350
68,A036810,에프에스티,[170],[2.44604317],[7120],6950
69,A122310,제노레이,[50],[0.28011204],[17900],17850
70,A003800,에이스침대,[-400],[-1.14942529],[34400],34800
71,A036830,솔브레인,[3000],[4.28571429],[73000],70000
72,A284740,쿠쿠홈시스,[1050],[2.65486726],[40600],39550
73,A034950,한국기업평가,[-200],[-0.31746032],[62800],63000
74,A033290,코웰패션,[-130],[-2.12765957],[5980],6110
75,A130580,나이스디앤비,[150],[1.88679245],[8100],7950
