,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A036530,S&T홀딩스,[100],[0.66006601],[15250],15150
1,A900290,GRT,[305],[15.0990099],[2325],2020
2,A900280,골든센츄리,[-203],[-35.42757417],[370],573
3,A900270,헝셩그룹,[-60],[-5.35714286],[1060],1120
4,A900300,오가닉티코스메틱,[-485],[-25.59366755],[1410],1895
5,A009970,영원무역홀딩스,[-550],[-1.14583333],[47450],48000
6,A023600,삼보판지,[-960],[-10.65482797],[8050],9010
7,A002200,수출포장,[-400],[-2.06185567],[19000],19400
8,A054800,아이디스홀딩스,[350],[2.8],[12850],12500
9,A012320,경동인베스트,[-2050],[-5.83214794],[33100],35150
10,A029460,케이씨,[-150],[-1.12781955],[13150],13300
11,A058860,KTis,[-25],[-1.12107623],[2205],2230
12,A088130,동아엘텍,[-420],[-5.32994924],[7460],7880
13,A101330,모베이스,[-350],[-7.44680851],[4350],4700
14,A003240,태광산업,[-101000],[-8.66209262],[1065000],1166000
15,A016590,신대양제지,[-11400],[-16.30901288],[58500],69900
16,A013120,동원개발,[-200],[-4.60829493],[4140],4340
17,A015230,대창단조,[-13350],[-31.41176471],[29150],42500
18,A049070,인탑스,[450],[3.4351145],[13550],13100
19,A093050,LF,[-2250],[-11.11111111],[18000],20250
20,A067830,세이브존I&C,[-40],[-1.17820324],[3355],3395
21,A224110,에이텍티앤,[860],[11.11111111],[8600],7740
22,A161000,애경유화,[-110],[-1.40306122],[7730],7840
23,A017480,삼현철강,[-375],[-8.57142857],[4000],4375
24,A004490,세방전지,[-4400],[-10.37735849],[38000],42400
25,A030530,원익홀딩스,[-155],[-3.67734282],[4060],4215
26,A016090,대현,[-85],[-3.44827586],[2380],2465
27,A039010,현대통신,[-670],[-8.29207921],[7410],8080
28,A053210,스카이라이프,[-350],[-3.79609544],[8870],9220
29,A042420,네오위즈홀딩스,[-950],[-6.55172414],[13550],14500
30,A017890,한국알콜,[-990],[-11.94209891],[7300],8290
31,A014440,영보화학,[30],[0.88495575],[3420],3390
32,A007540,샘표,[-3050],[-6.95553022],[40800],43850
33,A006740,영풍제지,[-40],[-1.32231405],[2985],3025
34,A000850,화천기공,[-2300],[-5.70719603],[38000],40300
35,A053610,프로텍,[-2950],[-17.00288184],[14400],17350
36,A007590,동방아그로,[240],[3.6036036],[6900],6660
37,A900310,컬러레이,[-275],[-13.75],[1725],2000
38,A046110,한일네트웍스,[-350],[-7.40740741],[4375],4725
39,A037710,광주신세계,[-2000],[-1.17302053],[168500],170500
40,A005930,삼성전자,[3900],[8.28025478],[51000],47100
41,A049430,코메론,[0],[0.],[7990],7990
42,A069960,현대백화점,[-1300],[-1.66240409],[76900],78200
43,A036190,금화피에스시,[-1100],[-3.67278798],[28850],29950
44,A010240,흥국,[-565],[-11.23260437],[4465],5030
45,A069510,에스텍,[-250],[-2.13675214],[11450],11700
46,A002170,삼양통상,[7300],[11.66134185],[69900],62600
47,A019590,엠벤처투자,[0],[0.],[1160],1160
48,A290740,액트로,[750],[7.0754717],[11350],10600
49,A084110,휴온스글로벌,[3050],[10.40955631],[32350],29300
50,A109860,동일금속,[0],[0.],[11550],11550
51,A001630,종근당홀딩스,[8400],[9.55631399],[96300],87900
52,A134380,미원화학,[3850],[9.61298377],[43900],40050
53,A102710,이엔에프테크놀로,[2300],[11.11111111],[23000],20700
54,A004000,롯데정밀화학,[-2750],[-5.78947368],[44750],47500
55,A151860,KG ETS,[185],[5.61456753],[3480],3295
56,A003780,진양산업,[600],[17.91044776],[3950],3350
57,A900250,크리스탈신소재,[-495],[-21.52173913],[1805],2300
58,A002290,삼일기업공사,[45],[1.39751553],[3265],3220
59,A079940,가비아,[-640],[-8.],[7360],8000
60,A241790,오션브릿지,[-500],[-5.03524673],[9430],9930
61,A039340,한국경제TV,[-305],[-6.61605206],[4305],4610
62,A024090,디씨엠,[-50],[-0.4048583],[12300],12350
63,A005500,삼진제약,[-1400],[-5.2238806],[25400],26800
64,A028150,GS홈쇼핑,[-12200],[-7.65850596],[147100],159300
65,A084370,유진테크,[600],[4.42804428],[14150],13550
66,A189690,포시에스,[-110],[-1.78571429],[6050],6160
67,A115310,인포바인,[-150],[-0.70257611],[21200],21350
68,A036810,에프에스티,[-360],[-5.17985612],[6590],6950
69,A122310,제노레이,[3150],[17.64705882],[21000],17850
70,A003800,에이스침대,[100],[0.28735632],[34900],34800
71,A036830,솔브레인,[-1900],[-2.71428571],[68100],70000
72,A284740,쿠쿠홈시스,[6150],[15.54993679],[45700],39550
73,A034950,한국기업평가,[-3200],[-5.07936508],[59800],63000
74,A033290,코웰패션,[-770],[-12.60229133],[5340],6110
75,A130580,나이스디앤비,[300],[3.77358491],[8250],7950
