,종목코드,현재가,종목명,배당률,영업이익,부채비율,ROA,per,psr,pcr,pbr,perRanK,psrRanK,pcrRanK,pbrRanK,totalRank
0,A036530,15250,S&T홀딩스,2.619999885559082,346985600000.0,40.61000061035156,4.360000133514404,2.7229089440599266,0.16590693980569848,2.126621112815507,0.31883754965502825,3,0,8,4,15
1,A900300,1410,오가닉티코스메틱,3.819999933242798,114060800000.0,11.069999694824219,19.43000030517578,2.6740488406183367,0.301991861212251,1.598639455782313,0.2990455991516437,2,12,1,1,16
2,A002200,19000,수출포장,3.1500000953674316,53146800000.0,28.81999969482422,7.699999809265137,5.434005434005434,0.27698811866754136,2.07491536529431,0.31260282987824944,11,9,7,3,30
3,A900290,2325,GRT,0.0,294108600000.0,14.34000015258789,15.9399995803833,2.0239398813907514,0.42566825338703773,1.7389678384442782,0.3318110460967604,1,27,3,6,37
4,A900270,1060,헝셩그룹,4.900000095367432,75730200000.0,24.889999389648438,10.819999694824219,4.255105624968639,0.3977485928705441,1.970260223048327,0.3223844282238443,5,25,6,5,41
5,A023600,8050,삼보판지,0.5600000023841858,86773000000.0,49.72999954223633,19.450000762939453,5.700394131815196,0.3502131732358827,1.7932724437513923,0.37553648068669526,12,17,4,10,43
6,A009970,47450,영원무역홀딩스,1.6799999475479126,553933600000.0,49.630001068115234,8.489999771118164,4.438498754218918,0.24659983265511884,2.3465703971119134,0.5125241680258368,7,4,10,29,50
7,A029460,13150,케이씨,1.6699999570846558,181883200000.0,37.9900016784668,67.41000366210938,3.7237940539862944,0.348445904766952,2.66248228386313,0.42952800914584355,4,16,15,16,51
8,A058860,2205,KTis,3.619999885559082,40766400000.0,43.060001373291016,4.920000076293945,7.153095637583893,0.16675489677077818,2.555040556199305,0.45539033457249073,20,1,14,20,55
9,A006650,116500,대한유화,3.430000066757202,387672200000.0,16.6299991607666,16.219999313354492,7.422636959782001,0.3520435143914784,1.8692938401553199,0.42799412196914033,22,19,5,15,61
10,A016590,58500,신대양제지,1.2799999713897705,197030000000.0,47.439998626708984,24.790000915527344,4.54662,0.35076148219210934,1.7356990268217423,0.5996064122012218,8,18,2,37,65
11,A101330,4350,모베이스,2.2899999618530273,49020000000.0,33.0,9.779999732971191,8.078923860465116,0.23829087921117503,2.710280373831776,0.43815471394037064,29,2,16,18,65
12,A003240,1065000,태광산업,0.2800000011920929,677205600000.0,28.459999084472656,7.389999866485596,6.653710187866137,0.3752170710026963,2.7661906567689853,0.373895559911234,18,22,17,8,65
13,A054800,12850,아이디스홀딩스,1.5499999523162842,87381000000.0,30.899999618530273,10.720000267028809,5.782503352902805,0.246873258919137,2.4300302571860817,0.5804236867067166,14,5,13,36,68
14,A088130,7460,동아엘텍,2.009999990463257,41648000000.0,38.599998474121094,11.1899995803833,7.428303167883212,0.3167190286150972,2.3570300157977884,0.5053173474226106,23,13,11,26,73
15,A093050,18000,LF,2.7699999809265137,210888600000.0,39.58000183105469,7.349999904632568,9.483755878696146,0.29882958412882876,2.840012622278321,0.43856443242453036,40,11,18,19,88
16,A013120,4140,동원개발,4.460000038146973,231036200000.0,24.799999237060547,18.790000915527344,6.18341640487508,0.5753995830437804,2.3128491620111733,0.5096639172719438,15,38,9,28,90
17,A004490,38000,세방전지,1.309999942779541,322270400000.0,29.059999465942383,10.319999694824219,6.272993113857184,0.4538072035922423,3.2351438787672397,0.5092468507102653,16,31,23,27,97
18,A015230,29150,대창단조,2.390000104904175,40888000000.0,26.290000915527344,7.110000133514404,7.740525134758364,0.263376642151105,4.185812751292361,0.4714234886955397,27,6,42,22,97
19,A067830,3355,세이브존I&C,1.4900000095367432,82653800000.0,32.470001220703125,6.170000076293945,6.3303849351753945,0.8487224892486719,3.5057471264367814,0.3105618809589929,17,58,26,2,103
20,A049070,13550,인탑스,1.4700000286102295,118799400000.0,37.349998474121094,5.760000228881836,7.454818795381121,0.269426548954108,4.483785572468564,0.5487607322209622,24,8,47,31,110
21,A017480,4000,삼현철강,3.75,21926000000.0,15.34000015258789,5.070000171661377,10.8858856152513,0.2690884628321561,4.060913705583756,0.4256677663083963,52,7,38,14,111
22,A053610,14400,프로텍,1.940000057220459,137415600000.0,19.68000030517578,16.670000076293945,4.380288700846192,0.6737157293908487,3.438395415472779,0.7366482504604052,6,45,25,47,123
23,A001130,156000,대한제분,1.600000023841858,85777400000.0,22.790000915527344,7.050000190734863,11.679440038984628,0.2853249686782687,4.150923314352616,0.34636186822263076,67,10,41,7,125
24,A007540,40800,샘표,0.49000000953674316,96455400000.0,37.709999084472656,8.819999694824219,4.6224890674861125,0.42016374028113895,4.374865966116234,0.7321406140649954,9,26,44,46,125
25,A000850,38000,화천기공,3.2799999713897705,34238000000.0,33.86000061035156,4.480000019073486,9.27857935627081,0.387430925144267,6.133979015334948,0.27845559732389513,38,23,66,0,127
26,A011500,4225,한농화성,2.8399999141693115,30814200000.0,44.540000915527344,5.320000171661377,8.147305765199162,0.32323464157294773,4.757882882882883,0.5649906392083445,30,14,53,33,130
27,A017890,7300,한국알콜,0.6800000071525574,72040400000.0,28.0,10.479999542236328,8.319551007490242,0.592051905920519,3.8747346072186835,0.5026509674309716,32,39,35,25,131
28,A016090,2380,대현,3.359999895095825,45467000000.0,39.5,8.34000015258789,8.808349168407856,0.3561807841963484,4.375,0.5499075785582255,36,20,45,32,133
29,A030530,4060,원익홀딩스,0.0,116869000000.0,34.70000076293945,10.829999923706055,10.196267366607056,0.7423660632656793,3.631484794275492,0.41080643529292726,46,49,29,11,135
30,A161000,7730,애경유화,4.519999980926514,85530400000.0,45.779998779296875,16.360000610351562,11.003607606184469,0.23954136969321352,3.851519681116094,0.7011973875181422,56,3,33,45,137
31,A039010,7410,현대통신,4.039999961853027,29054800000.0,47.900001525878906,25.229999542236328,8.358782369866598,0.5341310459165285,2.8843908135461267,0.8001295756397797,33,36,20,53,142
32,A053210,8870,스카이라이프,3.940000057220459,145027000000.0,22.489999771118164,8.329999923706055,11.11439377492467,0.6083676268861454,2.3869752421959096,0.6295244854506742,59,40,12,39,150
33,A014440,3420,영보화학,2.9200000762939453,23594200000.0,22.690000534057617,4.070000171661377,11.016266709615074,0.5149826833308236,4.105642256902761,0.47016772064888646,57,35,40,21,153
34,A264660,7470,씨앤지하이테크,1.3300000429153442,47488600000.0,14.229999542236328,24.079999923706055,5.024320684964391,0.4851279386933368,4.417504435245417,0.9525631216526397,10,32,46,65,153
35,A042420,13550,네오위즈홀딩스,2.430000066757202,60724000000.0,14.390000343322754,6.599999904632568,7.510045951188986,0.4912267981438515,8.792991563919532,0.37522153300841826,25,33,86,9,153
36,A900310,1725,컬러레이,0.0,61263600000.0,6.409999847412109,21.940000534057617,5.777819129140306,1.8997797356828194,2.8606965174129355,0.6213976945244957,13,89,19,38,159
37,A046110,4375,한일네트웍스,4.570000171661377,17248200000.0,33.18000030517578,8.520000457763672,11.522305160828376,0.4360175403627666,3.3653846153846154,0.7472245943637916,64,29,24,48,165
38,A010240,4465,흥국,2.7899999618530273,20729000000.0,43.27000045776367,14.229999542236328,10.086313041246562,0.4988269467098648,3.6598360655737703,0.8550363845270011,44,34,31,58,167
39,A006740,2985,영풍제지,1.340000033378601,20504800000.0,25.020000457763672,13.720000267028809,12.280763528539659,0.6214865708931917,2.9554455445544554,0.5767001545595054,72,41,21,35,169
40,A224110,8600,에이텍티앤,1.159999966621399,15709200000.0,31.8700008392334,7.210000038146973,11.108853410740203,0.38822679667750093,3.0420940926777504,0.9588582896643996,58,24,22,67,171
